firmenId,firma,firmaQuelle
1175,Lorenz Holland & Co.,Lorenz Hollandt et compag:
1176,Jakob Mayr & Sohn,Jacob Mayr et sohn
1177,Schmid und Haidnin,Schmidt unnd Haidtnin
1178,Johann Piere & Co.,Johann Piere et comp:
1179,Strötter und Eisenmayr,Strötter und Eisenmayr
1180,Konstantin Zinell und Johann Zinell,Constantin und Johann Zinell
1181,Grassy und Blattner,Grassy und Blattner
1182,Gebrüder Blommart,
1183,Gebrüder Carl,Carl Gebrieder
1184,Erhard Stegmann sel. Witwe,Erhard Stegman see: wittib
1185,Johann Lamprecht sel. Witwe,Johann Lemprechts sel. wittib
1186,Zacharias Kriner und Johann Georg Schmidt,Zacharias Krümer und Johann Geörg Schmit
1187,Gebrüder Manter,Mandter
1188,Johann Christ Felbinger sel. Witwe,Johann Christ: Felbinger see: wittib
1189,Georg Kamistorfer und Matthias Fixlmillner,Geörg Kamistorffer unnd Mathias Fixlmillner
1190,Martin Plöckinger & Co.,
1191,Johann Rapp & Co.,Joh. Rapp von Fellhamb et consortes
1192,Thomas Klammer & Co.,Thoman Khlamer et cons:
1193,Christoph Wunderl & Co.,Christoph Wunderl et consortes
1194,Ambrosius Peck & Co.,Ambroß Peckh et cons:
1195,Christoph Leithner & Sohn,Christoph Leithner et sohnn
1197,Michael Mayr & Sohn,Michael Mayr und sohn
1196,Chavanne Coendos,
1198,Johann Georg Fischer sel. Witwe,
1199,Johann Prauster und Illing,Hannß Prauster et Illing
1200,Jakob Johann Steck und Heinzlmann,Jacob Hanß Steckh et Hainzlmann
1201,Johann Wolfbaur & Co.,
1202,Jakob Buggel & Co.,Jacob Pugl et Compagnie
1203,Joseph Desser & Co.,Joseph Deßer et Compagnie
1204,Johann Michael Vorauer & Co,Johann Michael Vorauer et consor.
1205,N. Sensen & Co,N. Sengsten et compag.
1206,Johann Bader & Co.,
1207,Georg Gruber sel. Erben,
1208,Mayrhofer und Kriegner,
1209,Wöcker und Miller,Wökher und Müller
1210,Tognio und Gianni,
1211,Gallus Wittich sel. Witwe,Gallus Wüttich see. wittüb in der Michl
1212,Johann Kaspar Payr sel. Witwe,Johann Caspar Peyr see. wittüb
1213,Michael Hartmader & Co.,
1214,Seiter und Kidinger,Seiter und Kidinger
1215,Werth und Graf,
1217,Franz Pachner sel. Witwe,
1218,Gabriel Adam,
1219,Georg Vetter & Co,Georg Vetterl et consort
1220,Matthias Plöderl & Co.,
1221,Ferdinand Hilz & Co.,ferdinand hilz et compag.
1222,Johann Georg Hilleprand sel. Witwe,johann georg hilleprandt sel. wittib
1223,Schwarz sel. Witwe,Schwarz selig. wittib
1224,Ruprecht Schwarz sel. Witwe,rueprecht schwarz sel. wittib
1225,Johann Christoph Haas sel. Sohn,johann chrüstoph haas sel. sohn
1226,Lechner und Cortellini,"Lechner und Cortellini, Lechner und Cortellin, Lechner und Castellini"
1227,Thomas Räbütz sel. Witwe,thomas rübüz selig. wittib
1228,Egger und Babtisch,"Egger und Bäbtisch, Egert und Babtist, Egger und Babitsch, Egger und Labitsch"
1229,Brentano & Co.,Brentano et Compag.
1230,Giosephi und Tortellini,Giosephi et Tortellini
1231,Johann Kaspar Reger sel. Witwe,Johann Caspar Regers see. Wittüb
1233,Georg Kaufmann & Co.,Georg Kaufman et cons.
1234,Michael Binder & Co.,Michael Pinder et consort.
1235,Segalla und Bingingini,Segalla et Bingingini
1236,Ludwig Pürckl & Co,Ludwig Pürkhl et consort
1237,Nuderon und Christopheri,Nuderon und Christopheri
1238,Peter Jäger & Sohn,Peter Jäger und Sohn
1239,Joseph Kreuzmayr & Co,Joseph Kreuzmayr et consort
1240,Lorenz Paumgartner und Matthias Marmillner,Lorenz Paumgarttner und Matthias Mahromillner
1241,Rehrer und Wishofer,Rehrer und Wißhoffer
1242,Christoph Kohlhofer sel. Witwe,chrüstoph kolhoffer sel. wittib
1243,Stockinger und Erben,stokhinger und erben
1244,Daniel Huber sel. Erben,Daniel Hueber see. Eeben
1245,Weber und Gebrüder,Wehber und Gebrüeder
1246,Benrete & Sohn,Benrete[?] et Sohn
1247,Johann Wilhelm und Johann Adam Selhammer sel. Witwe,Johann Wilholmb und Hanns Adam Selhammer sel. wittib
1248,Johann Wilhelmseder sel. Witwe,johann wilholmeder sel. wittib
1249,Erasmus Räckl & Co.,erasmus rächl et cons.
1250,Alkofer sel. Erben und Drecher,"Alkhofers erben und Dracher, Alkhofers erben und Drecher"
1557,Hesse und Walk,Hesse und Walkh
1252,Alexander Clerr sel. Erben,Alexander Clere see. erben
1253,Altlechner und Leeb,altlechner und leb
1254,Heimerl und Hochmayr,Heymerl und Hochmayr
1255,Johann Wilhelm sel. Witwe,johann wilholmb sel. wittib
1256,Visconti und Fischer,visconti und vischer
1257,Jakob Mayr sel. Witwe,jacob mayr sel. wittib
1258,Anton Stapf & Co.,Antony Stapff et consort.
1512,Mezger und Naß,Mezger und Naß
1261,Johann Hackstock & Co.,johann kakhstekh et comp.
1262,Zacharias Franz Erben & Co.,zach: frannz erb und consort.
1263,Sebastian Seiz und Michael Seiz,Sebastian und Michael Seüz
1264,Matthias Vogl sel. Witwe,matthias vogl sel. wittib
1265,Johann Streck sel. Witwe,johann strekhs sel. wittib
1266,Peter Meyrl sel. Erben,peter meyrl selig. erben
1267,Daniel Piat sel. Erben,Daniel Biot sel. erben
1268,Matthias Vogl sel. Erben,matthias vogl selig. erben
1269,Jeremias Stengler sel. Witwe,jeremias stengler selig. wittib
1270,Johann Prunnermayr & Co,Johann Prunermayr et Cons.
1528,Zacharias sel. Erben,Zacharias sel. Erben
1272,Abraham Schmid sel. Witwe,Abrahamb Schmidts se: wittib
1273,Wolf Stephan Bölhofers sel. Witwe,Wolf Stephan Bölhoffers see: wittib
1274,Johann Ebermayr sel. Erben,Johann Ebermayers seel. Erben
1275,Mayr und Hölzl,Mayr und Hölzl
1276,Arbaur und Bassardi,Arbaur et Basardi
1277,Johann Georg Weber & Co.,johann georg wehber et compag.
1278,Johann Stein sel. Witwe,Johann Steins seel. Witwe
1279,Michael Pacher sel. Witwe,Michael Bacher see: wittib
1280,Christian Schmid & Co,Christian Schmid et cons.
1281,Georg Leithner & Co.,"Georg Leithner & consort, Georg Leithner stainmezmaister et consort."
1282,Michael Schlesinger & Co,Michael Schlesinger et consort.
1283,Leonhard Memborth & Co,Leonhard Membbard et cons.
1284,Civa Cetto & Co.,Cina Cetto et compg.; Biva et Cetto et compag.
1285,Rachel und Hentschel,Rachel und Hentschel
1286,Ottavio Pestalozzi & Co.,Ottauio Pestoluz et Comp.
1287,Mezler und Naß,Mezler und Naß
1288,Gebrüder Servaty,"Servaty Gebrieder, Servoty Gebrieder"
1290,Hofmann und Streck,Hofmann und Strekh
1291,Bernhard Ziegler & Co.,bernhard ziechler et compag.
1292,Martin Gnäz sel. Witwe,martin gnäz selig. wittib
1293,Gebrüder Schweyer,
1295,Buol und Schmid,
1296,Andre Haslbeck sel. Witwe,andr haslpökh selig. wittib
1297,Dimpfl und Forster,Dimpffl und Forster
1298,Amadei sel. Erben,herr Amadei seel. erben
1299,Daniel Kurz sel. Erben,
1300,Hecht & Co,
1301,Gischl und Glaser,güschl und glaser
1539,Hecht und Frobonig,
1303,Sebastian Oberhuber sel. Erben,Sebastian Obernhueber seel. Erben
1304,Eisenkohl und Mayr,"Eysenkhol und Mayr, Eißenkoll und Mayr"
1305,Johann Rehrer sel. Witwe,
1306,Georg Diernbacher sel. Witwe,Georg Triembpacher sel. wittib
1307,Kaspar Würth sel. Witwe,
1308,Heimerl und Mayr,Heymerl und Mayr
1309,Thomas Schwänkl & Co. ,Thomas Schwänkhl et consorth. 
1310,"Johann Hofer von Wesenufer, Urban Lechner von der Freizell",
1311,Martin Laiminger & Co. ,Martin Laimbinger et Cons.
1499,Gabriel Jenisch sel. Witwe,Gabriel Jenisch seel. Wittib
1313,Johann Baptist Thann sel. Witwe,Johann Batta. thann seel. wittib
1314,Johann Fölkerer & Co,Johann Fölckerer et Consortes
1315,Weber und Wohlgemut,weber und wohlgemueth
1316,Johann Christoph Haas sel. Erben,johann chrüstoph haas sel. erben
1317,Georg Prenz sel. Erben,georg pränz selig. erben
1318,Volkamer und Münch,Voukamer und Minich
1319,Wolf Windhaager & Co,Wolf Wündhaager et Consortes
1320,Falquet und Puthon,Falquet und Puthon
1321,Johann Wilhelm Hauber sel. Erben,Johann Wilhalbm Haubers seel. Erben
1322,Haas & Co.,Haas et Consorten
1323,Miroli und Praun,Miroli & Praun
1324,Gebrüder Burger,Gebrüed Burger
1325,Heinrich Krochmann sel. Erben,Heinrich Krochmann seel. Erben
1326,Renz und Bader,Renz und Pader
1327,Dallensteiner und Löschenkohl,Dolnstainer und Leschenkalch
1328,Stephan Hölzl sel. Witwe,Stephan Hölzl see: wittib
1329,Leeb sel. Erben,Leeb seel. Erben
1330,Gebrüder Pollner,Gebriieder Pollner
1331,Kraus und Sandner,Krauß und Sandtner
1332,Johann Storch und Adam Eckmayr,Johann Storch und Adam Ekmayr
1333,Andre Paul Jörger & Co.,Andre Paul Jörger et Comp.
1335,Johann Cleas sel. Erben,Hans Cleaß seel: erben 
1336,Wagner und Geilang,Wagner und Geilang
1337,Paumillner und Wandaller,Paumillner und Wanthaller
1338,Heredi Giosephi,Heredi Giosephi
1339,Matthias Kögler sel. Erben,Matthias Köglers seel. erben
1340,Georg Hagenauer sel. Witwe,Georg Hagenauer seel. Wittib
1341,Franz Pachner sel. Erben,Franz Pachner seel. Erben
1342,Gandi & Co,Gandy et compag.
1343,Brentano Cimarolli & Co.,Brentano Cimeroli et comp.
1344,Johann Kirchhofer sel. Erben,Johann Kirchhofers seel. Erben
1345,Karl Kampmiller und Adam Kampmiller,Carl und Adam Kampmüllner
1346,Valentin Friesleder & Co.,
1347,Johann Alkofer und Drecher,Johann Alkhoffer et Drecher
1348,Christoph Punz & Co.,
1349,Eisenreich & Co.,Herr Eisenreich et consortes
1350,Barastini & Co.,Barrastini et Comp.
1351,Wolf Diernreither & Co.,Wolf Diernreither et Consortes
1352,Johann Alkofer sel. Erben,"Johann Alkofer seel. erben, Johann Alkhofers erben"
1353,Jakob Pilgram & Co.,Jacob Bilgramb et con.
1354,Adam Vogl und Ostermayr,
1355,Georg Glock & Co.,Georg glokh et consorth.
1356,Gottlieb Ziegler & Co,Gottlieb Ziegler et consort
1357,Joseph Dellisier & Co.,
1358,Andre Kircher & Co.,
1359,Perinet und Violand,Perinet und Violand
1360,Ghezzi und Jaccoud,"Ghezzi et Joccoud, Ghezzi und Jaccoud"
1361,Michael Schick sel. Erben,"Michael Schükh seel. Erbn, Michael Schekhs seel. erben, Michael Schükh seel. erben"
1362,Joseph Höcksteiner sel. Erben,Joseph hökhstainer seel. Erbn
1363,Alkofer sel. Erben,"Alkhofers seel. erben, Alkhhoverische erben, Althoverische erben"
1364,Joseph Pellissier & Co. ,Joseph Pellissier et compag. 
1365,Strötter und Mayr,Strötter und Mayr
1366,Cimarolli und Monticelli,Zimerolli et Monticell
1367,Georg Koller sel. Witwe,georg koller seel. wittib
1368,Michael Memborth & Co.,
1369,Martin Mallinger & Co.,
1370,Andreas Pettenkofer sel. Witwe,
1371,Leopold Rehrer und Wishofer,Leopold Rehrrer und Wißhofer
1372,Friedrich Gehrl & Co.,Fridrich Gehrl et consortes
1373,Elias Damayr sel. Witwe,Elias Damayr seel. Wittib
1374,Franz Beget & Co.,Francois Beget et comp.
1375,Jakob Preuninger sel. Witwe,Jacob Preuningers seel. Wittib
1376,Götz und Klauber,göz et glauber
1377,Franz Piolley & Sohn,Franz Piolley et Sohn
1467,Georg Richermo & Co. ,Georg Richermo et compag. 
