personenId,herkunft,herkunftname
542,13,Obernzell/Hafnerzell
543,29,Engelhartszell
544,55,Putzleinsdorf
545,89,Krems
546,90,Glarus
548,13,Obernzell/Hafnerzell
549,385,Schaden
550,66,von der Ranna
551,4,Aschach
552,92,Vilshofen
553,68,Neukirchen am Walde
555,93,Lambruck
556,94,Dreissenau
557,4,Aschach
558,225,Neuhaus (an der Donau)
22946,66,von der Ranna
574,90,Glarus
575,3,Linz
576,22,Straubing
577,9,Hall
578,27,Wien
579,27,Wien
580,27,Wien
21007,2,Nürnberg
582,27,Wien
587,27,Wien
590,27,Wien
595,27,Wien
596,27,Wien
599,3,Linz
600,51,Kelheim
601,29,Engelhartszell
602,35,Grafenau
603,30,Laufen
605,95,Mauthausen
606,29,Engelhartszell
607,13,Obernzell/Hafnerzell
610,27,Wien
611,27,Wien
613,3,Linz
614,25,Eferding
615,22,Straubing
616,30,Laufen
617,349,Tulln
618,15,Ulm
621,52,St. Martin
622,86,Mittenwald
623,97,Murnau
624,53,Petzenkirchen
626,62,Augsburg
632,62,Augsburg
633,11,Regensburg
635,97,Murnau
637,10,Passau
640,225,Neuhaus (an der Donau)
641,55,Putzleinsdorf
642,54,Wasserburg
643,32,München
644,56,Weihenstephan
645,29,Engelhartszell
646,82,Braunau (am Inn)
647,74,Altenhof
648,59,Seestetten
649,98,Schongau
650,99,Peiting
651,54,Wasserburg
652,15,Ulm
654,100,Donauwörth
655,101,Schalding
656,100,Donauwörth
658,44,Ottensheim
659,11,Regensburg
665,11,Regensburg
669,27,Wien
670,62,Augsburg
673,7,Rosenheim
677,3,Linz
678,2,Nürnberg
686,780,Micheldorf
26181,166,Fall
696,2,Nürnberg
697,11,Regensburg
698,797,Frankfurt am Main
700,2,Nürnberg
701,11,Regensburg
702,11,Regensburg
705,11,Regensburg
711,797,Frankfurt am Main
714,2,Nürnberg
717,2,Nürnberg
719,2,Nürnberg
726,24,Tölz
727,15,Ulm
728,15,Ulm
731,8,Kufstein
732,64,Obernberg (am Inn)
734,32,München
736,66,von der Ranna
738,7,Rosenheim
739,102,Irring
740,59,Seestetten
741,9,Hall
746,27,Wien
752,27,Wien
753,27,Wien
756,27,Wien
757,103,Haslach
759,55,Putzleinsdorf
760,14,Kobling
1332,772,Klausenburg
770,24,Tölz
772,98,Schongau
773,104,Partenkirchen
774,60,Sandbach
776,13,Obernzell/Hafnerzell
777,11,Regensburg
779,17,Steyr
780,13,Obernzell/Hafnerzell
781,13,Obernzell/Hafnerzell
784,14,Kobling
785,24,Tölz
787,98,Schongau
789,61,Landshut
790,8,Kufstein
791,99,Peiting
792,4,Aschach
794,482,Kirchdorf (an der Krems)
797,9,Hall
806,9,Hall
810,11,Regensburg
812,27,Wien
813,27,Wien
820,11,Regensburg
821,105,Reinhausen
822,12,Pressburg
824,87,von der Au
825,16,Lechbruck
826,66,von der Ranna
827,17,Steyr
6277,5,von der Mühl
830,11,Regensburg
834,17,Steyr
835,8,Kufstein
836,19,Berchtesgaden
839,3,Linz
843,27,Wien
844,4,Aschach
848,27,Wien
854,3,Linz
