angaben_scansId,angabenId,scanId
443,366,3844
444,367,3844
445,368,3844
446,369,3845
447,370,3845
448,371,3845
449,372,3845
450,372,3846
451,373,3846
452,374,3846
453,375,3847
454,376,12
455,377,3847
456,378,12
457,379,3847
458,380,3848
459,381,3848
460,382,3848
461,383,12
462,384,12
463,385,3849
464,382,3849
465,386,3849
466,387,3849
467,388,3849
468,389,12
469,390,13
470,390,14
471,390,15
472,390,16
473,390,17
474,391,3850
475,392,3850
476,393,3850
477,394,3850
478,395,3850
479,396,3850
480,397,3850
481,398,3850
482,399,3851
483,400,3851
484,401,3851
485,402,3851
486,403,3851
487,404,3851
488,405,3852
489,406,3852
490,407,3852
491,408,3852
492,409,3853
493,410,3853
494,411,3853
495,412,3853
496,413,3853
497,414,3853
498,414,3854
499,415,3855
500,416,3855
501,417,3855
502,418,3855
503,419,3855
504,420,3855
505,421,3856
506,422,3856
507,423,3856
508,424,3856
509,425,3856
510,426,3856
511,427,3856
512,428,3857
513,429,3857
514,430,3857
515,431,3857
516,432,3857
517,433,3857
518,434,3858
519,434,3859
520,434,3860
521,434,3861
522,434,3862
523,435,17
524,436,17
525,437,18
526,438,18
527,439,18
528,440,18
529,440,19
530,441,20
531,442,3862
532,443,3862
533,444,3862
534,445,3862
535,446,3863
536,447,3863
537,448,3863
538,448,3864
539,449,20
540,450,20
541,451,3865
542,451,3866
543,452,3866
544,453,3866
545,454,3866
546,455,3866
547,456,3866
548,457,3866
549,458,3866
550,459,3867
551,460,3867
552,460,3868
553,461,3868
554,462,3868
555,463,3868
556,464,3868
557,465,3869
558,466,3869
559,466,3870
560,467,3870
561,468,3870
562,469,3870
563,470,3870
564,471,3870
565,472,3871
566,472,3872
567,472,3873
568,473,3873
569,474,3873
570,475,3873
571,476,3873
572,477,3873
573,478,3873
574,479,3874
575,480,3874
576,481,3874
577,482,3874
578,483,3874
579,483,3875
580,484,20
581,485,20
582,486,20
583,487,20
584,488,3875
585,489,21
586,490,3875
587,491,3875
588,492,21
589,493,3876
590,494,3876
591,495,3876
592,496,3876
593,497,3876
594,498,3876
595,499,3876
596,500,3877
597,500,3878
598,501,3878
599,501,3879
600,501,3880
601,501,3881
602,501,3882
603,501,3883
604,501,3884
605,502,21
606,503,21
607,504,21
608,505,21
609,506,22
610,507,22
611,508,22
612,509,23
613,510,23
614,511,23
615,512,23
616,513,24
617,514,3884
618,515,3884
619,516,3885
620,517,3885
621,518,3885
622,519,3886
623,520,3886
624,521,3886
625,522,3886
626,523,3887
627,524,3887
628,525,3887
629,526,3887
630,527,3887
631,528,3887
632,529,3887
633,530,3887
634,531,3887
635,532,3887
636,533,3888
637,534,3888
638,534,3889
639,534,3890
640,535,3890
641,536,3891
642,536,3892
643,537,3893
644,538,3893
645,539,3893
646,540,3894
647,540,3895
648,540,3896
649,540,3897
650,540,3898
651,540,3899
652,541,3899
653,542,3899
654,543,3900
655,543,3901
656,544,3901
657,544,3902
658,545,3902
659,546,3902
660,547,3902
661,548,3902
662,549,3903
663,550,3903
664,551,3903
665,552,3903
666,553,3903
667,554,3904
668,555,3904
669,556,3904
670,556,3905
671,556,3906
672,557,3906
673,557,3907
674,557,3908
675,557,3909
676,557,3910
677,557,3911
678,558,3911
679,559,3911
680,560,3911
681,561,3911
682,562,3912
683,563,3912
684,564,3912
685,565,3912
686,566,3912
687,567,3912
688,568,3912
689,569,3913
690,570,3913
691,571,3913
692,571,3914
693,572,3915
694,573,3915
695,574,3915
696,575,3915
697,576,3915
698,577,3916
699,578,3916
700,579,3916
701,580,3916
702,581,3916
703,582,3916
704,583,3916
705,584,3917
706,585,3917
707,586,3917
708,587,3917
709,588,3917
710,589,3918
711,589,3919
712,590,3919
713,591,3919
714,592,3919
715,593,3920
716,594,3920
717,595,3920
718,596,3920
719,597,3920
720,598,3920
721,599,3921
722,600,3921
723,601,3921
724,602,3921
725,603,3921
726,604,3922
727,604,3923
728,605,3923
729,606,3923
730,607,3923
731,608,3923
732,609,3923
733,610,3924
734,611,3924
735,612,3924
736,613,3924
737,614,3924
738,615,3924
739,616,3925
740,617,3925
741,618,3925
742,619,3925
743,620,3925
744,621,3925
745,622,3926
746,623,3926
747,624,3927
748,624,3928
749,624,3929
750,624,3930
751,625,3930
752,626,3930
753,627,3930
754,628,3930
755,629,3930
756,630,3931
757,631,3931
758,631,3932
759,632,3932
760,633,3932
761,634,3933
762,635,3933
763,636,3933
764,637,3933
765,638,3933
766,639,3933
767,640,3933
768,641,3934
769,642,3934
770,643,3934
771,644,3935
772,645,3936
773,645,3937
774,646,3937
775,647,3937
776,648,3937
777,649,3937
778,650,3938
779,651,3938
780,652,3938
781,653,3938
782,654,3939
783,655,3939
784,656,3939
785,657,3939
786,658,3940
787,659,3940
788,660,3940
789,661,3940
790,662,3940
791,663,3940
792,664,3941
793,665,3941
794,666,3941
795,667,3941
796,668,3941
797,669,3941
798,670,3942
799,671,3942
800,672,3942
801,673,3942
802,673,3943
803,674,3943
804,675,3943
805,676,3943
806,677,3944
807,678,3944
808,679,3944
809,680,3944
810,681,3945
811,682,3945
812,683,3945
813,684,3945
814,685,3945
815,686,3945
816,687,3946
817,688,3946
818,689,3946
819,690,3946
820,691,3946
821,692,3947
822,693,3947
823,694,3947
824,695,3947
825,696,3947
826,697,3947
827,698,3947
828,699,3947
829,700,3947
830,701,3948
831,702,3948
832,703,3948
833,704,3948
834,705,3948
835,706,3948
836,707,3949
837,708,3949
838,709,3949
839,710,3949
840,711,3949
841,712,3949
842,713,3949
843,714,3949
844,715,3950
845,715,3951
846,716,3951
847,716,3952
848,717,3952
849,717,3953
850,717,3954
851,717,3955
852,717,3956
853,717,3957
854,718,3958
855,719,3958
856,720,3958
857,721,3958
858,722,3958
859,722,3959
860,722,3960
861,722,3961
862,723,3961
863,724,3961
864,725,3962
865,726,3962
866,727,3962
867,728,3962
868,729,3962
869,730,3963
870,731,3964
871,732,3964
872,733,3964
873,734,3964
874,735,3964
875,736,3964
876,737,3964
877,738,3965
878,739,3965
879,740,3965
880,741,3965
881,742,3965
882,743,3965
883,744,3965
884,745,3966
885,746,3966
886,747,3966
887,748,3966
888,749,3966
889,750,3967
890,751,3967
891,752,3967
892,753,3967
893,754,3967
894,755,3967
895,756,3968
896,757,3968
897,758,3968
898,759,3969
899,760,3969
900,761,3969
901,762,3969
902,763,3969
903,764,3969
904,765,3970
905,766,3970
906,767,3971
907,768,3971
908,769,3971
909,770,3971
910,771,3971
911,772,3972
912,772,3973
913,773,3974
914,774,3974
915,775,3974
916,776,3974
917,777,3974
918,778,3974
