ladung_zielortId,ladungId,zielort
1422,38511,3
1423,38529,10
1424,38567,27
1425,38583,3
1426,38587,3
1427,38590,3
1428,38617,148
1429,38630,3
1430,38650,79
1431,38695,3
1432,38798,3
1433,38824,3
1434,38830,27
1435,38840,112
1436,38844,27
1437,38852,112
1438,38945,27
1439,38946,27
1440,38953,179
1441,39149,3
1442,39157,3
1443,39169,430
1444,39181,193
1445,39241,112
1446,39253,3
1447,39279,17
1448,39318,3
1449,39319,3
1450,39327,112
1451,39366,27
1452,39369,112
1458,39514,27
1459,39518,18
1460,39541,3
1461,39594,89
1462,39617,3
1463,39627,3
1464,39636,10
1465,39639,148
1466,39685,27
1467,39839,27
1468,39931,27
1469,40017,3
1470,40018,3
1471,40105,27
1472,40281,3
1473,40286,3
1474,40304,3
1475,40311,3
1476,40372,27
1477,40412,27
1478,40438,148
1479,40442,3
1480,40489,10
1481,40495,27
1482,40498,10
1483,40502,4
1484,40581,27
1485,40615,27
1486,40649,3
8225,246228,148
8224,246227,27
1489,40676,112
1490,40678,3
1491,40679,3
1492,40955,148
1493,40991,27
1494,41186,27
1495,41187,3
1496,41211,3
1497,41278,4
1498,41430,21
1499,41553,11
1500,41558,3
1501,41561,21
1502,41579,3
1504,41657,1
8354,41721,27
1506,41761,565
1507,41777,3
1508,42008,568
8228,42221,167
1510,42091,4
1511,42092,3
1512,42093,3
1513,42185,4
1514,42208,27
1515,42210,27
1516,42212,27
1517,42446,15
1518,42453,11
1519,42454,11
1520,42481,572
1521,42486,27
1522,42487,27
1523,42488,27
1524,42489,27
1525,42506,3
1526,42614,3
1527,42615,27
1528,42623,179
1529,42633,3
1530,42676,3
1531,42683,3
1532,42771,27
1533,42782,3
1534,42807,27
1535,42868,269
1536,42869,27
1537,42903,27
1538,42904,27
1539,42908,3
1540,42942,3
1541,42987,10
1542,43167,9
1543,43188,3
1544,43250,11
1545,43263,15
1546,43268,27
1547,43269,27
1548,43270,27
1549,43323,27
1550,43349,3
1551,43352,27
1552,43402,27
1553,43461,27
1554,43503,27
1555,43504,27
1556,43505,27
1557,43571,3
8238,246511,3
8237,43917,27
1560,43608,27
1561,43609,27
1562,43677,222
1563,43685,3
1564,43766,27
1565,43856,27
1566,43858,3
1567,44035,201
1568,44063,27
1569,44085,196
1570,44099,27
1571,44103,11
1572,44184,10
1573,44378,3
1574,44417,10
1575,44506,27
1576,44676,27
1577,44717,3
1578,44718,1
1579,44763,41
1580,44970,38
1581,45006,27
1582,45015,27
1583,45058,148
1584,45097,27
1585,45101,27
