nachnameId,nachname,nachname_quelle,nachname_bemerkungen
191,Fynn,"Fynn, Fühnn, Finn",
192,Reger,"Reger, Riger, Recher, Röger, Seger, Regger, Regler",
193,Payrhuber,"Payrhueber, Pairhueber, Paierhueber, Poyrhueber",
194,Peckin,"Peckin, Beckhin, Pökhin, Bökhin",
196,Zettl,"Zetl, Zötl, Zätl, Zöltl, Zöttl",
197,Lederer,"Leederer, Löderer, Länderer, Liderer, Loderer, Letterer, Lederl, Lödler, Lüderer, Löder",
198,Aufinger,Aufinger,
199,Wenig,"Wenig, Wennig",
200,Haßperger,"Haßperger, Harsperger, Haßenberger, Hartsperger, Hachßperger, Hochsperger, Garßperger",
201,Mautner,Mauthner,
202,Aichberger,"Aichberger, Aigberger",
203,Anzinger,"Anzinger, Ainzinger, Aizinger",
205,Schnürer,Schnierer,
206,Märchl,"Märchl, Mächl, Märkhl, Mörchl, Mährl, Märckhl",
209,Koppenjäger,"Koppenjäger, Kopenjäger, Kappenjäger, Khopeniäger",
210,Räbinger,"Rabinger, Räbinger, Röbinger [?]",
211,Laurer,"Laurer, Lauer",
212,Leinhuber,"Leinhueber, Leimhueber, Leibhueber, Leyhueber",
213,Gstattner,"Gstattner, Gstatter, Gstaltner, Gestalter, Gstettner",
214,Schleindl,Schleindl,
215,Prändl,"Prändl, Pränndtl",
216,Sperl,"Sperl, Sperll",
217,Klein,"Klain, Khlein, Clain",
218,von Murat,"v. Murat, Muralt",
220,Mändl,"Mändl, Mandl",
221,Donon,"Donon, Donnon",
4715,Ernesti,Ernesti,
223,Isenflamm,"Isenflam, v. Isenflam, de Issenflam",
224,Schweighauser,"Schweighaußer, Schwinghaußer, Schwinghauser",
225,Weißenbeck,"Weissenbekh, Weissbekh, Weissenbökh, Weisbeckh, Weissbökh, Weisbökh, Weißbeckh, Weüssenbökh, Weissenbach, Weißenbökh, Weispökh, Weisenbach, Weißenpach",
226,Gundian,"Gundian, Gundianus, Gundiano",
227,Schmid,"Schmid, Schmidt, Schnid, Schmidl, Schmit",
228,de Milpfort,de Milpfort,
229,Zacher,"Zacher, Zachen, Zächer, Zacha",
230,Wallner,"Wellner, Wallner, Wollner, Wahlner",
231,Wolfram,"Wolfframb, Wolframb, Wolfrab",
232,Munier,"Munier, Monnier, Manier, Wunier",
233,Rappenmoser,"Rappenmoser, Ropenmoser, Rapenmoser",
236,Schön,"Schönn, Schöne",
237,Schädlich,"Schädlich, Schedlich, Schettlich",
238,Mayr,"Mayr, Meyer, Meyr, Mayer, Mey, Mair",
239,Högger,Högger,
241,Kircher,"Kürcher, Kürchner, Kircher, Kierher, Kiercher, Kecher, Kürchler, Kirchner
	",
243,Weller,Weller,
