fahrzeugId,personenId,herkunft,region,maut_fl,maut_s,maut_d,fahrtrichtungId
73402,3047,32,2,,1,18,2
73403,328,5,6,,,16,2
73404,39121,1292,41,,,24,2
73405,2718,9,5,,,16,2
73406,2016,57,2,,3,6,2
73407,328,5,6,,,16,2
73408,2396,26,6,,,16,1
73409,177,10,38,,,6,2
73410,29731,145,1,,,,2
73411,19247,49,2,,,16,2
73412,27279,30,34,,,16,2
73413,15093,65,6,,,16,2
73414,5030,32,2,,3,6,2
73415,32452,530,6,,,6,2
73416,4674,11,122,,,16,2
73417,169,225,6,,,16,1
73418,18415,26,6,,,16,1
73419,34765,29,6,,,16,1
73420,31200,127,2,,1,2,2
73421,8465,119,5,,,16,2
73422,1841,178,42,,,16,2
73423,3031,225,6,,,6,2
73424,347,15,3,,,16,2
73425,21232,10,38,,,16,2
73426,560,13,38,,,16,1
73427,1005,35,6,,,16,2
73428,1574,30,34,,,16,2
73429,34772,63,42,,3,6,2
73430,171,5,6,,,6,2
73431,1005,35,6,,,16,2
73432,204,10,38,,,16,2
73433,5016,17,6,,1,2,1
73434,1365,60,2,,3,6,2
73435,1411,11,122,,,16,2
73436,3967,403,2,,,16,2
73437,7187,26,6,,,16,2
73438,1475,66,6,,,16,1
73439,6249,16,41,,1,18,2
73440,7276,28,6,,,16,2
73441,1484,61,2,,1,18,2
73442,640,225,6,,1,2,3
73443,5334,92,2,,1,18,2
73444,5760,29,6,,,18,2
73445,1338,28,6,,1,4,2
73446,1190,10,38,,,16,2
73447,1056,49,2,,4,8,2
73448,1005,35,6,,,16,1
73449,34780,49,2,,,16,2
73450,34781,9,5,,,16,2
73451,410,9,5,,,16,2
73452,2880,21,34,,,16,2
73453,2588,206,6,,,6,2
73454,3437,151,46,,3,6,2
73455,4116,302,2,,,,2
73456,1325,16,41,,1,18,2
73457,543,29,6,,,16,2
73458,2028,16,41,,1,18,2
73459,39122,1293,,,,6,2
73460,640,225,6,,,16,2
73461,558,225,6,,,22,2
73462,280,3,6,,,6,2
73463,28676,21,34,,,16,2
73464,781,13,38,,,16,2
73465,949,62,148,,,24,2
73466,2489,13,38,,,16,2
73467,17856,27,1,,,16,2
73468,2478,30,34,,,16,2
73469,32727,121,2,,,16,2
73470,1586,29,6,,,16,2
73471,177,10,38,,,16,2
73472,1584,159,43,,4,24,2
73473,447,2,4,,,6,2
73474,13986,26,6,,,16,2
73475,18888,410,38,,,16,2
73476,2381,10,38,,,16,2
73477,207,10,38,,,6,2
73478,740,59,2,,1,2,2
73479,2161,204,6,,,16,2
73480,209,10,38,,1,2,2
73481,2030,196,6,,,16,1
73482,4941,225,6,,,6,2
73483,1338,28,6,,1,2,1
73484,4737,126,38,,1,18,2
73485,13329,13,38,,,6,2
73486,9273,9,5,,,16,2
73487,328,5,6,,,16,1
73488,6537,59,2,,1,2,2
73489,222,5,6,,1,2,1
73490,522,30,34,,,16,2
73491,2030,196,6,,,16,1
73492,204,10,38,,1,2,2
73493,204,10,38,,,16,2
73494,1231,5,6,,,16,1
73495,16759,105,2,,1,2,2
73496,16411,62,148,,,24,2
73497,543,29,6,,1,2,2
73498,3059,167,1,,,16,2
73499,17192,16,41,,1,18,2
73500,2028,16,41,,,24,2
73501,1172,60,2,,,16,2
73502,34795,68,6,,,6,2
73503,204,10,38,,,16,2
73504,4703,70,5,,1,18,2
73505,21799,4,6,,,16,1
73506,16300,2,4,,,6,2
73507,177,10,38,,,16,2
73508,1351,60,2,,2,12,2
73509,2381,10,38,,,16,2
73510,30413,29,6,,,16,1
73511,24371,13,38,,,16,2
73512,15078,4,6,,,16,2
73513,204,10,38,,,16,2
73514,6700,26,6,,,16,1
73515,34797,30,34,,,16,2
73516,5030,32,2,,4,,2
73517,1028,16,41,,4,,2
73518,222,5,6,,,16,2
73519,30413,29,6,,2,4,2
73520,204,10,38,,,16,2
73521,209,10,38,,,16,2
73522,204,10,38,,,16,2
73523,204,10,38,,,16,2
73524,2309,225,6,,,6,2
73525,30361,7,2,,1,2,1
73526,169,225,6,,,6,2
73527,1349,30,34,,,16,2
73528,328,5,6,,,16,2
73529,222,5,6,,,16,2
73530,2889,15,3,,,16,2
73531,204,10,38,,,16,1
73532,1137,9,5,,,16,2
73533,31010,42,34,,,16,2
73534,34811,894,6,,,16,1
73535,169,225,6,,,16,2
73536,34238,24,2,,2,12,2
73537,14701,225,6,,,18,2
73538,640,225,6,,,16,1
73539,88,3,6,,,16,1
73540,2768,60,2,,1,18,2
73541,17856,27,1,,,16,2
73542,14790,28,6,,,16,2
73543,2161,204,6,,,16,2
73544,1477,15,3,,,16,2
73545,792,4,6,,,6,5
73546,3311,75,6,,,6,5
73547,738,7,2,,1,2,1
73548,7547,3,6,,,6,2
73549,6972,66,6,,,6,2
73550,1137,9,5,,1,2,2
73551,2979,30,34,,,16,2
73552,2608,9,5,,,16,2
73553,190,11,122,,2,4,2
73554,1595,5,6,,,6,2
73555,4453,216,6,,,16,1
73556,2748,98,2,,1,18,2
73557,204,10,38,,,6,2
73558,2623,28,6,,,16,2
73559,222,5,6,,,16,2
73560,4706,4,6,,,6,2
73561,179,11,122,,,22,2
73562,7668,24,2,,1,6,2
73563,1192,114,42,,3,22,2
73564,177,10,38,,,16,2
73565,34820,29,6,,,6,2
73566,204,10,38,,,16,2
73567,505,32,2,,1,18,2
73568,494,48,38,,1,18,2
73569,945,42,34,,,16,2
73570,3366,19,39,,,16,2
73571,2770,42,34,,,16,2
73572,177,10,38,,,16,2
73573,2420,13,38,,,22,2
73574,1072,13,38,,,16,2
73575,7357,24,2,,2,12,2
73576,171,5,6,,,6,2
73577,2744,24,2,,2,12,2
73578,13485,24,2,,2,12,2
73579,293,11,122,,,16,2
73580,88,3,6,,,16,2
73581,810,11,122,,,16,2
73582,552,92,2,,3,6,2
73583,2396,26,6,,1,2,2
73584,6537,59,2,,4,,2
73585,174,27,1,,,16,2
73586,280,3,6,,,16,1
73587,17856,27,1,,,16,2
73588,575,3,6,,,16,1
73589,4971,175,6,,,16,2
73590,2161,204,6,,1,4,2
73591,15101,49,2,,,16,2
73592,6507,438,6,,,16,2
73593,640,225,6,,,16,2
73594,558,225,6,,,16,2
73595,88,3,6,,,16,1
73596,1594,92,2,,1,18,2
73597,2996,16,41,,,24,2
73598,88,3,6,,1,8,2
73599,4941,225,6,,,6,2
73600,222,5,6,,1,2,1
73601,26531,35,6,,,6,2
73602,210,10,38,,,16,2
73603,1573,1157,42,,4,24,2
73604,171,5,6,,,6,2
73605,1449,11,122,,,16,2
73606,21232,10,38,,,16,1
73607,1475,66,6,,,24,2
73608,2729,13,38,,1,2,2
73609,934,26,6,,,16,2
73610,177,10,38,,,16,2
73611,1270,16,41,,,24,2
73612,177,10,38,,,16,2
73613,13410,44,6,,,6,2
73614,1449,11,122,,,16,2
73615,204,10,38,,,16,2
73616,1349,30,34,,,16,2
73617,1030,15,3,,,16,2
73618,19120,134,34,,,16,1
73619,328,5,6,,,16,2
73620,210,10,38,,1,2,2
73621,14701,225,6,,,16,2
73622,23661,16,41,,2,12,2
73623,2441,28,6,,,16,1
73624,1349,30,34,,,16,2
73625,34837,13,38,,,16,2
73626,222,5,6,,,6,2
73627,9964,178,42,,,16,2
73628,2182,66,6,,,16,2
73629,792,4,6,,,16,1
73630,34839,18,6,,,18,2
73631,1286,16,41,,,24,2
73632,88,3,6,,,16,2
73633,558,225,6,,,6,2
73634,3883,24,2,,1,18,2
73635,1284,26,6,,,16,2
73636,88,3,6,,,16,2
73637,177,10,38,,,6,2
73638,741,9,5,,,16,2
73639,575,3,6,,,16,2
73640,2104,13,38,,,6,2
73641,3311,75,6,,,6,2
