angaben_passagiereId,personenId,angabenId,zielort,judenleibmaut,judenleibmaut_fl,judenleibmaut_s,judenleibmaut_d,bemerkungen,passagiereOrder
1163,1587,5832,,,,,,,
1164,17,5834,,,,,,,
1165,16,5836,,,,,,,
1166,5945,5843,,,,,,,
1167,16,5844,,,,,,,
1168,102,5845,,,,,,,
1169,5947,5846,27,,,,,,
1170,16,5847,,,,,,,
13721,32891,5848,,,,,,,
1172,16,5853,3,,,,,,
1173,101,5855,,,,,,,
1174,5952,5857,3,,,,,,
1175,16,5869,,,,,,,
1176,5972,5879,,,,,,,
1177,5973,5880,148,,,,,,
1178,5977,5886,27,,,,,,
1179,16,5895,,,,,,,
1180,1840,5900,148,,,,,,
1181,15,5904,,,,,,,
1182,5988,5907,,,,,,,
1183,16,5909,,,,,,,
1184,16,5910,,,,,,,
1185,17,5913,,,,,,,
17238,30830,5916,,,,,,,
1187,16,5918,,,,,,,
1188,6015,5930,27,,,,,,
1190,16,5943,,,,,,,
1191,1587,5953,252,,,,,,
1192,17,5954,,,,,,,
1193,16,5959,,,,,,,
1194,1840,5968,148,,,,,,
1195,16,5970,,,,,,,
9692,102,45760,,,,,,,
17155,10548,5975,27,,,,,,
17154,10547,5975,27,,,,,,
1200,672,5977,27,,,,,,
1201,16,5984,,,,,,,
1202,17,5991,,,,,,,
1203,2404,5994,27,,,,,,
1204,788,6002,27,,,,,,
1205,6049,6003,27,,,,,,
6216,16,29635,,,,,,,
1207,1911,6013,10,,,,,,
1208,788,6015,3,,,,,,
1209,15,6016,,,,,,,
1210,788,6017,,,,,,,
1211,16,6023,,,,,,,
1212,16,6028,,,,,,,
1213,16,6034,,,,,,,
1215,16,6053,,,,,,,
1216,5090,6054,18,,,,,,
1217,16,6055,,,,,,,
1218,16,6061,148,,,,,,
1219,6086,6062,11,,,,,,
1220,6087,6062,11,,,,,,
1221,1840,6084,148,,,,,,
1222,1587,6085,,,,,,,
1223,1587,6088,65,,,,,,
1224,16,6094,148,,,,,,
1225,17,6095,,,,,,,
1226,6113,6097,27,,,,,,
1227,6116,6100,,,,,,,
1228,17,6103,,,,,,,
6712,788,32315,,,,,,,
1230,17,6130,,,,,,,
1231,6130,6135,3,,,,,,
1232,6146,6149,,,,,,,
1233,1911,6152,10,,,,,,
1234,89,6154,27,,,,,,
1235,1927,6164,,,,,,,
1236,1340,6166,27,,,,,,
1237,554,6174,,,,,,,
1238,16,6177,,,,,,,
1239,16,6181,,,,,,,
1240,5588,6183,,,,,,,
1241,113,6191,,,,,,,
1242,1927,6193,,,,,,,
1243,16,6195,,,,,,,
1244,5972,6202,,,,,,,
1245,1906,6222,,,,,,,
1246,16,6224,,,,,,,
1247,16,6226,,,,,,,
1248,1954,6232,,,,,,,
1249,4326,6235,,,,,,,
1250,16,6256,27,,,,,,
1251,6202,6262,,,,,,,
1252,6203,6264,27,,,,,,
1253,16,6272,3,,,,,,
2923,411,6491,,,,,,,
1255,1587,6284,10,,,,,,
1256,16,6285,3,,,,,,
1257,16,6287,,,,,,,
1258,284,6297,27,,,,,,
1259,1906,6303,,,,,,,
1260,16,6304,27,,,,,,
1261,113,6309,,,,,,,
1262,16,6316,,,,,,,
1263,5592,6317,,,,,,,
1264,3631,6318,,,,,,,
1265,6241,6322,,,,,,,
