person_verknuepftId,personenId1,personenId2
870,15286,336
871,15286,7997
872,15296,222
873,15296,171
874,15297,6244
875,15297,11577
8649,27072,12204
877,15300,558
3174,3152,164
879,15300,8657
14528,701,20541
881,15302,13395
882,15304,13224
883,15306,1294
884,15306,8637
885,15306,2873
886,15310,13772
887,1195,8498
888,1195,5798
889,12909,10177
890,11672,13552
891,11672,12543
892,14088,4866
893,10595,13345
894,10064,9674
895,13562,14307
9478,8749,14307
9477,8749,13562
9481,28443,1894
9480,28443,10084
900,13562,12559
901,99,12964
7292,23962,23777
7291,21064,17623
904,9632,10211
905,8757,1143
906,877,10820
7419,24148,10145
1110,15896,15339
910,15328,4805
911,15331,11065
912,15333,8891
7369,24053,15049
914,15345,12876
915,15353,13682
916,15365,14775
917,15373,14058
15384,39107,34461
919,15380,2912
920,15380,10379
921,15416,7458
922,15417,5627
923,15419,12080
924,15419,11169
925,15420,5102
926,15428,9703
927,15430,606
928,15431,11672
929,15435,9703
930,15435,15428
3677,5135,15208
934,15456,10011
935,15458,9402
13169,35762,23458
937,15462,3744
938,15468,790
939,15472,1388
940,15471,4784
941,15485,15406
16197,7006,3238
3533,7834,11604
944,15498,2071
945,15498,3063
946,15500,3523
947,15500,440
948,15511,10422
949,15512,7562
7382,24098,21331
951,15521,4158
952,15521,8806
953,15521,220
4423,7514,12978
955,15534,5309
956,15538,15532
957,15544,15169
958,15545,1098
959,15545,4484
5696,3062,12667
962,15547,3062
963,15554,15098
964,15558,12151
966,15562,3007
967,15570,1745
968,10463,10531
969,12629,13418
970,13418,25
8035,25760,8896
972,11015,120
973,15575,10403
974,15577,11728
975,15577,15289
976,3696,1809
977,3696,12361
978,3696,6290
979,1809,12361
980,1809,6290
981,6290,12361
982,1647,6065
983,15588,2215
985,15593,15198
986,15593,15366
987,11481,5536
988,15609,4868
989,15609,12119
990,15615,574
991,15619,11752
992,15619,1530
993,15620,13219
994,15628,13688
995,15628,6961
996,15642,9368
997,15649,5862
998,15649,10754
999,15653,1112
1000,15655,9124
1001,6502,4482
1002,6502,968
1003,6502,9953
1004,968,4482
1005,968,9953
1006,4482,9953
1007,15659,13563
1008,15659,12483
1009,15671,3971
1010,15671,3891
1011,15672,3911
1012,15675,1270
1013,15675,3706
1015,15691,388
1016,1925,7173
1017,1925,3246
1018,1925,11876
1019,15698,13602
1020,15700,14424
16095,9087,2709
16096,8695,18145
15929,26229,30649
7290,23961,20840
1025,15714,12330
1026,2738,13506
1027,15734,784
1028,15734,4982
1029,15737,7558
1030,15738,12600
1031,15752,1317
1032,12515,8339
1033,12515,14763
1034,15759,14707
1035,15760,883
1036,15762,4376
1037,15768,5565
1038,15773,1737
1039,15773,4519
1040,15781,1411
1041,15781,5743
1042,15782,13656
1043,15787,7771
1044,15787,11909
1045,15788,7509
1046,8154,8277
1047,8154,8155
1048,15790,4888
1049,15790,12411
1050,15792,1353
1051,15793,15790
1052,15794,1653
1053,15794,7650
1054,15798,4682
1055,15809,1350
13472,36645,18051
13471,34348,4530
13470,1706,7542
1059,15831,9739
1060,15834,2281
1061,15835,12317
1062,15836,876
1063,15836,6271
1064,15836,3359
1065,15836,5171
1066,15836,4921
1067,15838,13295
1068,15838,12191
1069,15838,3935
1070,15841,8812
1071,15841,13768
1072,15841,13436
1073,15844,5482
1074,15845,6343
1075,10638,11190
1076,15848,4343
1077,15850,15568
1078,15851,9778
1079,15851,7094
1080,15851,1276
1081,15853,3203
1082,15858,15279
1083,15858,4307
1084,13048,5429
1085,15867,7521
1086,15872,10634
1087,4975,13405
1088,4975,7028
1089,4975,11107
1090,11107,13405
1091,11107,7028
1092,13405,7028
1093,15876,15085
1094,5218,5838
1095,4932,10301
1096,15882,5378
1097,6504,6581
1098,15886,14704
1099,15887,15383
1100,15888,332
1101,15888,2520
1102,15889,6195
1103,15889,6551
1104,15889,10053
1105,15893,12755
1106,15893,13008
1107,15894,1836
1108,15894,6819
1109,2370,583
1111,15471,13318
1112,15897,3499
1115,15904,
15010,11889,36938
1119,15909,361
1120,15909,11823
1121,15909,1179
1122,15910,11745
1123,15910,14717
1124,15913,6174
1125,15914,15389
1126,15915,10504
1127,931,9013
1128,931,8116
1129,15917,656
5092,9430,11555
13465,36634,12515
13462,3796,2971
14371,38422,2306
13468,1706,19328
1135,15934,12561
1136,15935,7287
1137,15935,15677
1138,15936,9875
3556,3719,7289
1140,15942,7384
1141,15944,10
1142,15950,600
1143,10721,8795
1144,10721,9915
1145,10721,8564
1147,15965,650
1148,15965,2964
1149,15968,5456
1150,15969,1987
1151,15978,1795
1152,15978,6172
1153,15978,4632
1363,285,9621
